Country,Year,Electricity source,Biomass and Waste,Coal,Gas,Geothermal,Hydroelectric,Nuclear,Oil,Solar Tide Wave,Wind
Afghanistan,2014,,-,-,-,-,0.579999983,-,0.01,-,-
Albania,2014,,-,-,-,-,3.970000029,-,-,-,-
Algeria,2014,,-,-,50.93999863,-,0.189999998,-,2.960000038,-,-
American Samoa,2014,,-,-,-,-,-,-,0.159999996,-,-
Angola,2014,,-,-,-,-,4.269999981,-,1.539999962,-,-
Argentina,2014,,2.200000048,3.289999962,68.91999817,-,29.46999931,5.730000019,21.73999977,-,0.610000014
Armenia,2014,,-,-,2.210000038,-,2.150000095,2.25999999,-,-,-
Aruba,2014,,-,-,-,-,-,-,0.920000017,-,0.090000004
Australia,2014,,2.339999914,153.5599976,45.86999893,-,14.27999973,-,3.349999905,2.619999886,8.069999695
Austria,2014,,6.920000076,5.309999943,7.880000114,-,39.54999924,-,0.689999998,0.569999993,3.74000001
Azerbaijan,2014,,-,-,28.62999916,-,1.279999971,-,0.330000013,-,-
Bahamas,2014,,-,-,-,-,-,-,2.349999905,-,-
Bahrain,2014,,-,-,16.63999939,-,-,-,-,-,-
Bangladesh,2014,,-,0.980000019,47.24000168,-,1.110000014,-,2.369999886,0.109999999,-
Barbados,2014,,-,-,0.029999999,-,-,-,0.899999976,-,-
Belarus,2014,,1.200000048,-,27.72999954,-,0.050000001,-,0.300000012,-,-
Belgium,2014,,6.170000076,5.980000019,16.76000023,-,0.270000011,32.09000015,0.07,3,4.420000076
Belize,2014,,0.200000003,-,-,-,0.189999998,-,0.02,-,-
Benin,2014,,-,-,-,-,-,-,0.140000001,-,-
Bermuda,2014,,-,-,-,-,-,-,0.589999974,-,-
Bhutan,2014,,-,-,-,-,5.559999943,-,-,-,-
Bolivia,2014,,0.150000006,-,3.670000076,-,2.140000105,-,0.100000001,-,-
Bosnia and Herzegovina,2014,,-,10.47999954,0.039999999,-,6.739999771,-,0.029999999,1,-
Botswana,2014,,-,0.340000004,-,-,-,-,-,-,-
Brazil,2014,,57.09000015,15.27999973,45.86000061,-,365.7900085,15.38000011,20.07999992,-,6.460000038
British Virgin Islands,2014,,-,-,-,13.86999989,-,-,0.050000001,-,-
Brunei Darussalam,2014,,-,-,3.460000038,-,-,-,0.029999999,-,-
Bulgaria,2014,,0.029999999,22.75,1.549999952,-,4.349999905,15.85999966,0.119999997,1.419999957,1.340000033
Burkina Faso,2014,,-,-,-,-,0.100000001,-,0.430000007,-,-
Burma,2014,,-,0.560000002,1.99000001,-,6.340000153,-,0.02,-,-
Burundi,2014,,-,-,-,-,0.209999993,-,-,-,-
Cambodia,2014,,0.02,0.029999999,-,0.159999996,0.419999987,-,0.589999974,-,-
Cameroon,2014,,0.050000001,-,0.409999996,-,4.869999886,-,3.029999971,-,-
Canada,2014,,7.380000114,79.05000305,66.02999878,-,375.3299866,100.9199982,8.699999809,0.790000021,11.5
Cape Verde,2014,,-,-,-,-,-,-,0.300000012,-,-
Cayman Islands,2014,,-,-,-,-,-,-,0.569999993,-,-
Central African Republic,2014,,-,-,-,-,0.159999996,-,0.02,-,-
Chad,2014,,-,-,-,-,-,-,0.209999993,-,-
Chile,2014,,7.159999847,24.19000053,10.53999996,-,23.95000076,-,5.860000134,-,0.540000021
China,2014,,43.54999924,3681.159912,90.62999725,-,1029.300049,130.5800018,9.460000038,11.90999985,148.3600006
Colombia,2014,,1.49000001,2.289999962,8.340000153,1.450000048,44.25,-,0.469999999,-,0.050000001
Comoros,2014,,-,-,-,-,-,-,0.039999999,-,-
Congo,2014,,-,-,0.649999976,-,0.970000029,-,-,-,-
Cook Islands,2014,,-,-,-,-,-,-,0.02,-,-
Costa Rica,2014,,0.180000007,-,-,-,6.590000153,-,0.810000002,-,0.460000008
C™te d'Ivoire,2014,,0.100000001,-,3.970000029,-,1.919999957,-,0.029999999,-,-
Croatia,2014,,0.029999999,2.25,2.180000067,-,7.679999828,-,0.629999995,-,0.129999995
Cuba,2014,,0.449999988,-,3.400000095,-,0.100000001,-,12.75,-,0.029999999
Cyprus,2014,,-,-,-,-,-,-,4.170000076,-,0.180000007
Czech Republic,2014,,4.920000076,41.16999817,1.24000001,-,2.059999943,28.62999916,0.07,2.099999905,0.469999999
Democratic People's Republic of Korea,2014,,-,7.78000021,-,-,11.02999973,-,0.540000021,-,-
Democratic Republic of the Congo,2014,,-,-,0.02,-,8.520000458,-,-,-,-
Denmark,2014,,5.199999809,10.35999966,3.210000038,-,0.01,-,0.349999994,0.589999974,13.10999966
Djibouti,2014,,-,-,-,-,-,-,0.340000004,-,-
Dominica,2014,,-,-,-,-,0.02,-,0.079999998,-,-
Dominican Republic,2014,,0.02,2.170000076,3.869999886,-,1.639999986,-,6.480000019,-,0.100000001
Ecuador,2014,,0.479999989,-,2.130000114,1.590000033,11.34000015,-,6.960000038,-,-
Egypt,2014,,-,-,112.4899979,-,13.47999954,-,25.90999985,-,1.620000005
El Salvador,2014,,0.379999995,-,-,-,1.690000057,-,2.420000076,-,-
Eritrea,2014,,-,-,-,0.01,-,-,0.370000005,-,-
Estonia,2014,,1.039999962,9.989999771,0.119999997,-,0.02,-,0.050000001,-,0.649999976
Ethiopia,2014,,-,-,-,-,7.110000134,-,0.029999999,-,0.079999998
Faeroe Islands,2014,,-,-,-,-,0.090000004,-,-,-,0.01
Falkland Islands (Malvinas),2014,,-,-,-,-,-,-,0.01,-,-
Fiji,2014,,0.02,-,-,-,0.430000007,-,0.129999995,-,0.02
Finland,2014,,10.81999969,10.30000019,-,-,13.22000027,22.64999962,2.5,-,1.120000005
France,2014,,7.619999886,17.39999962,16.35000038,0.219999999,62.16999817,415.8999939,3.019999981,6.619999886,16.88999939
French Guiana,2014,,0.01,-,-,-,0.49000001,-,0.079999998,-,-
French Polynesia,2014,,-,-,-,-,0.140000001,-,0.540000021,-,-
Gabon,2014,,-,-,0.540000021,-,0.970000029,-,0.340000004,-,-
Gambia,2014,,-,-,-,-,-,-,0.239999995,-,-
Georgia,2014,,-,-,2.480000019,-,6.690000057,-,-,-,-
Germany,2014,,44.25,259.3399963,59.31000137,-,17.12999916,91.77999878,8.890000343,33.88000107,57.95000076
Ghana,2014,,-,-,3.420000076,-,8.670000076,-,2,-,-
Gibraltar,2014,,-,-,-,-,-,-,0.159999996,1,-
Greece,2014,,0.310000002,24.47999954,7.519999981,-,4.28000021,-,4.130000114,2.309999943,4.210000038
Greenland,2014,,-,-,-,6.289999962,-,-,0.300000012,-,-
Grenada,2014,,-,-,-,0.100000001,-,-,0.180000007,-,-
Guadeloupe,2014,,0.100000001,-,-,0.270000011,-,-,1.50999999,-,0.050000001
Guam,2014,,-,-,-,-,-,-,1.580000043,-,-
Guatemala,2014,,2.339999914,1.139999986,-,-,4.059999943,-,3.420000076,-,-
Guinea,2014,,-,-,-,-,0.589999974,-,0.400000006,-,-
Guinea-Bissau,2014,,-,-,-,1.50999999,-,-,0.039999999,-,-
Guyana,2014,,-,-,-,-,-,-,0.879999995,-,-
Haiti,2014,,-,-,-,-,0.140000001,-,0.529999971,-,-
Honduras,2014,,0.200000003,0.119999997,-,-,2.539999962,-,3.660000086,-,0.620000005
Hong Kong Special Administrative Region (China),2014,,0.07,29.04000092,9.859999657,-,-,-,0.100000001,-,-
Hungary,2014,,1.980000019,5.75,7.300000191,6.070000172,0.289999992,14.77000046,0.150000006,-,0.709999979
Iceland,2014,,-,-,-,-,12.34000015,-,-,-,-
India,2014,,4.119999886,799.960022,89.02999878,10.13000011,129.4799957,33.22999954,11.43999958,5.679999828,34.99000168
Indonesia,2014,,0.180000007,95.52999878,38.38999939,2.74000001,13.63000011,-,43.68999863,-,-
Iran (Islamic Republic of),2014,,0.02,0.419999987,162.3999939,-,14.89999962,4.130000114,65.80000305,-,0.300000012
Iraq,2014,,-,-,72.73000336,-,4.079999924,-,9.069999695,-,-
Ireland,2014,,1.340000033,5.190000057,-,7.309999943,0.860000014,-,0.449999988,-,6.079999924
Israel,2014,,0.079999998,31.11000061,34.16999817,-,0.02,-,4.909999847,0.959999979,-
Italy,2014,,16.31999969,38.25999832,105.5199966,-,54.72000122,-,17.55999947,24.65999985,15.14999962
Jamaica,2014,,1.059999943,-,-,-,0.129999995,-,4.429999828,-,0.140000001
Japan,2014,,34.97999954,297.5,427.6000061,-,80.19000244,-,117.5199966,22.27000046,5.099999905
Jordan,2014,,-,-,5.349999905,-,0.039999999,-,11.31000042,-,-
Kazakhstan,2014,,-,65.79000092,8.479999542,-,7.929999828,-,0.529999971,-,-
Kenya,2014,,0.310000002,-,-,-,4.619999886,-,4.409999847,-,0.01
Kiribati,2014,,-,-,-,-,-,-,0.02,-,-
Kuwait,2014,,-,-,23.54999924,-,-,-,35.20999908,-,-
Kyrgyzstan,2014,,-,0.49000001,0.519999981,-,13.14000034,-,-,-,-
Lao People's Democratic Republic,2014,,-,0.629999995,-,-,9.18999958,-,0.310000002,-,-
Latvia,2014,,0.300000012,-,2.049999952,-,2.799999952,-,-,-,0.129999995
Lebanon,2014,,-,-,-,-,0.75,-,14.61999989,-,-
Lesotho,2014,,-,-,-,-,0.519999981,-,-,-,-
Liberia,2014,,-,-,-,-,-,-,0.300000012,-,-
Libyan Arab Jamahiriya,2014,,-,-,20.36000061,-,-,-,15.94999981,-,-
Lithuania,2014,,0.379999995,-,2.890000105,-,0.379999995,-,0.209999993,-,0.810000002
Luxembourg,2014,,0.119999997,-,1.860000014,-,0.090000004,-,-,0.029999999,0.090000004
Macao Special Administrative Region (China),2014,,-,-,-,-,-,-,0.219999999,-,-
Macedonia,2014,,-,5.119999886,0.079999998,-,1.5,-,0.059999999,-,-
Madagascar,2014,,-,0.01,-,-,1.440000057,-,0.899999976,-,-
Malawi,2014,,-,0.029999999,-,-,2.059999943,-,0.270000011,-,-
Malaysia,2014,,2.279999971,47.95999908,52.90999985,-,8.319999695,-,10.98999977,-,-
Maldives,2014,,-,-,-,-,-,-,0.330000013,-,-
Mali,2014,,-,-,-,-,0.779999971,-,0.230000004,-,-
Malta,2014,,-,-,-,-,-,-,2.049999952,-,-
Martinique,2014,,-,-,-,-,-,-,1.889999986,-,-
Mauritania,2014,,-,-,-,-,0.140000001,-,1.039999962,-,-
Mauritius,2014,,0.519999981,0.519999981,-,-,0.07,-,1.629999995,-,-
Mexico,2014,,3.019999981,32.33000183,138.8500061,-,38.5,9.31000042,54.31000137,0.119999997,4.880000114
Moldova,2014,,-,-,4.710000038,0.5,0.239999995,-,0.01,-,-
Mongolia,2014,,-,4.539999962,-,-,-,-,2.220000029,-,-
Montenegro,2014,,-,1.399999976,-,-,2.50999999,-,-,-,-
Montserrat,2014,,-,-,-,-,-,-,0.02,-,-
Morocco,2014,,-,11.93999958,3.950000048,-,1.75,-,6.800000191,-,2.049999952
Mozambique,2014,,-,-,0.029999999,-,16.28000069,-,-,-,-
Namibia,2014,,-,0.150000006,-,-,1.720000029,-,0.039999999,-,-
Nauru,2014,,-,-,-,-,-,-,0.02,-,-
Nepal,2014,,-,-,-,-,2.880000114,-,2,-,-
Netherlands,2014,,5.75,28.87000084,45.52000046,-,0.109999999,3.869999886,1.070000052,0.610000014,7.110000134
Netherlands Antilles,2014,,-,-,-,0.540000021,-,-,1.25999999,-,0.059999999
New Caledonia,2014,,-,0.649999976,-,7.179999828,0.330000013,-,2.690000057,-,0.029999999
New Zealand,2014,,0.730000019,2.769999981,8.720000267,-,20.52000046,-,2,-,2.210000038
Nicaragua,2014,,0.460000008,-,-,-,0.419999987,-,2.369999886,-,0.25999999
Niger,2014,,-,0.159999996,-,-,-,-,0.280000001,-,-
Nigeria,2014,,-,-,17.63999939,-,6.079999924,-,6.010000229,-,-
Norway,2014,,1.480000019,0.119999997,3.150000095,-,134.9499969,-,0.029999999,1.019999981,2.529999971
Oman,2014,,-,-,18.56999969,-,-,-,4.119999886,-,-
Pakistan,2014,,-,0.109999999,23.21999931,0.400000006,33.36999893,4.599999905,31.23999977,-,0.01
Panama,2014,,0.07,0.49000001,-,-,4.909999847,-,3.029999971,-,-
Papua New Guinea,2014,,1.399999976,-,0.189999998,10.35999966,0.569999993,-,2.170000076,-,-
Paraguay,2014,,-,-,-,-,56.83000183,-,-,-,-
Peru,2014,,0.730000019,0.620000005,13.42000008,-,20.78000069,-,2.220000029,-,-
Philippines,2014,,0.159999996,30.17000008,18.04000092,-,8.649999619,-,5.369999886,-,0.090000004
Poland,2014,,13.84000015,125.8499985,5.619999886,0.150000006,2.25999999,-,1.950000048,-,5.619999886
Portugal,2014,,3.190000057,10.73999977,8.31000042,-,15.10999966,-,2.25,0.649999976,19.11000061
Puerto Rico,2014,,-,1.940000057,2.529999971,-,0.129999995,-,15.42000008,-,-
Qatar,2014,,-,-,28.86000061,-,-,-,-,-,-
Republic of Korea,2014,,1.210000038,219.8200073,119.1999969,-,4.860000134,149.1600037,20.46999931,2.420000076,1.190000057
RŽunion,2014,,0.300000012,-,-,-,0.680000007,-,2.089999914,0.01,0.02
Romania,2014,,0.109999999,18.45000076,6.78000021,-,14.86999989,10.73999977,0.699999988,-,-
Russian Federation & U.S.S.R.,2014,,2.799999952,139.25,480.1499939,-,169.0099945,169.0399933,25.85000038,-,-
Rwanda,2014,,-,-,-,-,0.140000001,-,0.180000007,-,-
Saint Kitts and Nevis,2014,,-,-,-,-,-,-,0.140000001,-,-
Saint Lucia,2014,,-,-,-,-,-,-,0.360000014,-,-
Saint Pierre and Miquelon,2014,,-,-,-,17.20000076,-,-,0.039999999,-,-
Saint Vincent and the Grenadines,2014,,-,-,-,-,0.02,-,0.109999999,-,-
Samoa,2014,,-,-,-,-,0.029999999,-,0.059999999,-,-
Sao Tome and Principe,2014,,-,-,-,-,0.01,-,0.059999999,-,-
Saudi Arabia,2014,,-,-,145.3300018,-,-,-,89.66999817,-,-
Senegal,2014,,0.050000001,-,0.07,-,0.310000002,-,4.440000057,-,-
Serbia,2014,,-,23.07999992,0.310000002,-,8.609999657,-,0.050000001,-,-
Seychelles,2014,,-,-,-,-,-,-,0.340000004,-,-
Sierra Leone,2014,,-,-,-,-,0.100000001,-,0.039999999,-,-
Singapore,2014,,1.169999957,-,35.61000061,-,-,-,10.42000008,0.01,-
Slovakia,2014,,0.720000029,3.390000105,3.25,-,3.900000095,14.42000008,0.50999999,0.360000014,-
Slovenia,2014,,0.270000011,4.989999771,0.519999981,-,4.489999771,6.059999943,-,0.25,-
Solomon Islands,2014,,-,-,-,-,-,-,0.079999998,-,-
Somalia,2014,,-,-,-,-,-,-,0.319999993,-,-
South Africa,2014,,0.280000001,225.1499939,-,-,1.100000024,14.73999977,2.180000067,0.02,0.029999999
Spain,2014,,4.96999979,37.81999969,68.93000031,-,39.16999817,54.83000183,14.72000027,14.14000034,79.51000214
Sri Lanka,2014,,-,1.24000001,-,-,2.680000067,-,8.649999619,0.01,-
Sudan,2014,,-,-,-,-,7.110000134,-,-,-,-
Suriname,2014,,-,-,-,-,0.550000012,-,1.5,-,-
Swaziland,2014,,-,0.090000004,-,-,0.129999995,-,0.270000011,-,-
Sweden,2014,,11.97000027,1.74000001,1.659999967,-,64.04000092,62.29000092,1.059999943,0.050000001,10.15999985
Switzerland,2014,,2.460000038,-,1.100000024,1.889999986,37.38999939,26.37000084,0.050000001,0.769999981,0.119999997
Syrian Arab Republic,2014,,-,-,19.02000046,-,2.430000067,-,15.30000019,-,-
Taiwan,2014,,3.400000095,75.06999969,25.02000046,-,3.559999943,40.79999924,81.19000244,0.090000004,1.720000029
Tajikistan,2014,,-,-,0.75999999,-,15.67000008,-,-,-,-
Thailand,2014,,3.170000076,37.36999893,123.2399979,-,5.519999981,-,4.050000191,1.610000014,-
Togo,2014,,-,-,-,-,0.090000004,-,0.029999999,-,-
Tonga,2014,,-,-,-,-,-,-,0.039999999,-,-
Trinidad and Tobago,2014,,0.02,-,8.220000267,-,-,-,2.019999981,-,-
Tunisia,2014,,-,-,17.10000038,-,0.109999999,-,2,-,0.550000012
Turkey,2014,,1.24000001,67.19000244,102.8700027,-,39.61999893,-,1.529999971,1,9.140000343
Turkmenistan,2014,,-,-,16.18000031,-,-,-,-,-,-
Turks and Caicos Islands,2014,,-,-,-,-,-,-,0.170000002,-,-
U.S. Pacific Islands,2014,,-,-,-,-,0.01,-,0.409999996,-,-
Uganda,2014,,0.100000001,-,-,-,2.630000114,-,0.519999981,-,-
Ukraine,2014,,0.129999995,56.79000092,16,-,6.239999771,82.12000275,0.529999971,-,0.430000007
United Arab Emirates,2014,,-,-,95.37000275,-,-,-,1.820000052,0.01,-
United Kingdom,2014,,21.70999908,100.9199982,92.30999756,0.5,5.860000134,57.90999985,3.329999924,3.910000086,24.36000061
United Republic of Tanzania,2014,,-,0.050000001,2.430000067,-,1.779999971,-,2.029999971,-,-
United States of America,2014,,78.97000122,1612.209961,1272.130005,5.590000153,259.2900085,797.0599976,29.35000038,18.80999947,182.0899963
United States Virgin Islands,2014,,-,-,-,-,-,-,0.74000001,-,-
Uruguay,2014,,0.879999995,-,-,-,4.940000057,-,2.640000105,-,0.129999995
Uzbekistan,2014,,-,1.590000033,35.22999954,-,10.96000004,-,0.50999999,-,-
Vanuatu,2014,,-,-,-,-,-,-,0.039999999,-,-
Venezuela,2014,,-,-,18.73999977,-,81.98999786,-,16.86000061,-,-
Viet Nam,2014,,0.050000001,29.38999939,49.79999924,-,54.20000076,-,7.179999828,-,0.050000001
Wake Island,2014,,-,-,-,78.56999969,-,-,-,-,-
Western Sahara,2014,,-,-,-,-,-,-,0.090000004,-,-
Yemen,2014,,-,-,1.220000029,2.289999962,-,-,-,-,-
Yugoslavia,2014,,-,-,-,0.100000001,-,-,-,-,-
Zambia,2014,,-,-,-,-,12.69999981,-,0.029999999,-,-
Zimbabwe,2014,,0.090000004,2.089999914,-,30,5.789999962,-,0.02,-,-